rank,county,parcel_id,item_id,property_type,address,city,zip,opening_bid,recommended_max_bid,estimated_roi_pct,confidence_score,risk_flags,county_terms_url,county_map_url,due_diligence_steps
35,San Diego,1980932100,0099,Unimproved property,BORREGO SPRINGS RD BORREGO SPRINGS CA 92004,Borrego Springs,92004,2400.0,7028.83,126.6192356246205,92.0,low-historical-sellthrough-bin,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
36,San Diego,1980932000,0098,Unimproved property,BORREGO SPRINGS RD BORREGO SPRINGS CA 92004,Borrego Springs,92004,2400.0,7028.83,126.6192356246205,92.0,low-historical-sellthrough-bin,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
37,San Diego,4303002000,0295,Unimproved property,JULY ST SAN DIEGO CA 92110,San Diego,92110,2600.0,7326.8,117.94938120448131,92.0,low-historical-sellthrough-bin,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
38,San Diego,2931220400,0217,Unimproved property,MILE HI RD JULIAN CA,Julian,92036,2000.0,5741.79,122.02388131709083,92.0,low-historical-sellthrough-bin,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
39,San Diego,2930931600,0212,Unimproved property,MILE HIGH RD JULIAN CA,Julian,92036,1400.0,4014.46,121.60670266391071,84.0,low-historical-sellthrough-bin;very-low-opening-bid,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
40,San Diego,2931142400,0215,Unimproved property,TWIN OAKS JULIAN CA 92036,Julian,92036,1900.0,4066.41,64.67209653967247,92.0,low-historical-sellthrough-bin,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
41,Riverside,922043023,966,Likely Improved,28690 FRONT ST TEMECULA 92590,Front St Temecula,92590,1008351.0,1772727.76,6.138838903786903,80.0,value-estimated-no-assessor,https://riversidetaxsale.org/files/TC_223_Internet_Tax_Sale_Terms_and_Conditions_Rev._10-16-2024.pdf,https://www.rivcoplus.org/,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
42,Riverside,922043004,961,Likely Improved,41956 3RD ST TEMECULA 92590,St Temecula,92590,934967.0,1643713.83,6.138759187140865,80.0,value-estimated-no-assessor,https://riversidetaxsale.org/files/TC_223_Internet_Tax_Sale_Terms_and_Conditions_Rev._10-16-2024.pdf,https://www.rivcoplus.org/,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
43,Riverside,922043024,967,Likely Improved,28690 FRONT ST TEMECULA 92590,Front St Temecula,92590,700180.0,1230942.76,6.138391886330074,80.0,value-estimated-no-assessor,https://riversidetaxsale.org/files/TC_223_Internet_Tax_Sale_Terms_and_Conditions_Rev._10-16-2024.pdf,https://www.rivcoplus.org/,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
44,Riverside,922043002,959,Likely Improved,41934 3RD ST TEMECULA 92590,St Temecula,92590,625434.0,1099534.35,6.138217083534208,80.0,value-estimated-no-assessor,https://riversidetaxsale.org/files/TC_223_Internet_Tax_Sale_Terms_and_Conditions_Rev._10-16-2024.pdf,https://www.rivcoplus.org/,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
45,Riverside,922043025,968,Likely Improved,28696 FRONT ST TEMECULA 92590,Front St Temecula,92590,430884.0,757502.59,6.137477755377308,80.0,value-estimated-no-assessor,https://riversidetaxsale.org/files/TC_223_Internet_Tax_Sale_Terms_and_Conditions_Rev._10-16-2024.pdf,https://www.rivcoplus.org/,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
46,Riverside,274240021,59,Likely Improved,17388 MARIPOSA AVE RIVERSIDE 92504,Mariposa Ave Riverside,92504,163548.0,287508.22,6.13359284696814,80.0,value-estimated-no-assessor,https://riversidetaxsale.org/files/TC_223_Internet_Tax_Sale_Terms_and_Conditions_Rev._10-16-2024.pdf,https://www.rivcoplus.org/,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
47,San Diego,1980932200,0100,Unimproved property,FRYING PAN RD BORREGO SPRINGS CA 92004,Borrego Springs,92004,2000.0,3931.88,51.00252138003918,92.0,low-historical-sellthrough-bin,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
48,Riverside,243540001,38,Likely Improved,585 PITCAIRN ST RIVERSIDE 92506,Pitcairn St Riverside,92506,146838.0,258130.94,6.132880317412641,80.0,value-estimated-no-assessor,https://riversidetaxsale.org/files/TC_223_Internet_Tax_Sale_Terms_and_Conditions_Rev._10-16-2024.pdf,https://www.rivcoplus.org/,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
49,San Diego,1991400200,0111,Unimproved property,DI GIORGIO RD BORREGO SPRINGS CA 92004,Borrego Springs,92004,5400.0,14976.69,19.820237644825276,100.0,,https://sdttc.mytaxsale.com/nfs/documents/Terms_and_conditions_March_2026.pdf,https://gis-portal.sandiegocounty.gov/arcgis/apps/webappviewer/index.html?id=19eedf3237644195b0201c923e49bc12,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
50,Riverside,297230031,74,Likely Improved,14600 INNOVATION DR RIVERSIDE 92518,Innovation Dr Riverside,92518,4454705.0,7831645.99,6.139624661037059,72.0,value-estimated-no-assessor;long-default-age,https://riversidetaxsale.org/files/TC_223_Internet_Tax_Sale_Terms_and_Conditions_Rev._10-16-2024.pdf,https://www.rivcoplus.org/,Title report + lien search | Drive-by (no trespass) | Zoning/land-use check | Tax deed insurability check | Exit strategy comp check
